feature_type,dataset,difficulty,query type,alpha,diffusion scalar,distance metric,mAP,precision at 1,precision at 5,precision at 10
vgg,par,E,expanded,1.0,,cosine,0.9999831758971814,1.0,1.0,1.0
vgg,par,E,diffusion,,1.0,,0.99515337149076,1.0,0.9828571428571428,0.9914285714285715
vgg,par,M,basic,,,euclidean,0.9253890600544102,1.0,1.0,0.9985714285714287
vgg,par,M,expanded,0.25,,euclidean,0.9282324592655322,1.0,1.0,1.0
vgg,par,M,expanded,0.5,,euclidean,0.9306728883225043,1.0,1.0,1.0
vgg,par,M,expanded,0.75,,euclidean,0.9331002055455659,1.0,1.0,1.0
vgg,par,M,expanded,1.0,,euclidean,0.935467518628796,1.0,1.0,1.0
vgg,par,M,basic,,,cosine,0.9995414729807018,1.0,1.0,1.0
vgg,par,M,expanded,0.25,,cosine,0.9997682468416562,1.0,1.0,1.0
vgg,par,M,expanded,0.5,,cosine,0.9997718979797209,1.0,1.0,1.0
vgg,par,M,expanded,0.75,,cosine,0.9997637607762192,1.0,1.0,1.0
vgg,par,M,expanded,1.0,,cosine,0.9997532055848664,1.0,1.0,1.0
vgg,par,M,diffusion,,1.0,,0.9879475962126321,1.0,1.0,1.0
vgg,par,H,basic,,,euclidean,0.9262561660587859,1.0,1.0,0.9957142857142858
vgg,par,H,expanded,0.25,,euclidean,0.9289746061496439,1.0,1.0,0.9985714285714287
vgg,par,H,expanded,0.5,,euclidean,0.9312529103887842,1.0,1.0,1.0
vgg,par,H,expanded,0.75,,euclidean,0.933458384031485,1.0,1.0,1.0
vgg,par,H,expanded,1.0,,euclidean,0.9354753723174712,1.0,1.0,1.0
vgg,par,H,basic,,,cosine,0.9987283115102363,1.0,1.0,1.0
vgg,par,H,expanded,0.25,,cosine,0.9991438593514118,1.0,1.0,1.0
vgg,par,H,expanded,0.5,,cosine,0.9991519440642552,1.0,1.0,1.0
vgg,par,H,expanded,0.75,,cosine,0.9991266583797156,1.0,1.0,1.0
vgg,par,H,expanded,1.0,,cosine,0.9991089454529191,1.0,1.0,1.0
vgg,par,H,diffusion,,1.0,,0.9708095509527978,1.0,0.9857142857142858,0.9928571428571429
resnet,ox,E,basic,,,euclidean,0.6602585714997963,0.6571428571428571,0.5514285714285715,0.4785714285714286
resnet,ox,E,expanded,0.25,,euclidean,0.6633371492267995,0.6571428571428571,0.5514285714285715,0.47857142857142865
resnet,ox,E,expanded,0.5,,euclidean,0.6645579091737208,0.6571428571428571,0.5514285714285715,0.47714285714285715
resnet,ox,E,expanded,0.75,,euclidean,0.6660298902947581,0.6571428571428571,0.5514285714285715,0.4828571428571428
resnet,ox,E,expanded,1.0,,euclidean,0.6673566876332312,0.6571428571428571,0.5514285714285715,0.4857142857142857
resnet,ox,E,basic,,,cosine,0.8433871242193302,0.7857142857142857,0.7257142857142858,0.6885714285714285
resnet,ox,E,expanded,0.25,,cosine,0.8419500455066607,0.7857142857142857,0.7257142857142858,0.6828571428571428
resnet,ox,E,expanded,0.5,,cosine,0.8411407198026024,0.7857142857142857,0.7257142857142858,0.6828571428571428
resnet,ox,E,expanded,0.75,,cosine,0.8409559458199289,0.7857142857142857,0.7257142857142858,0.6828571428571428
resnet,ox,E,expanded,1.0,,cosine,0.8408153619321411,0.7857142857142857,0.7257142857142858,0.6828571428571428
resnet,ox,E,diffusion,,1.0,,0.5150768967077014,0.5428571428571428,0.4514285714285714,0.43857142857142856
resnet,ox,M,basic,,,euclidean,0.6040126771429466,0.7285714285714285,0.6657142857142857,0.6157142857142857
resnet,ox,M,expanded,0.25,,euclidean,0.6123457002003025,0.7285714285714285,0.6657142857142857,0.6157142857142858
resnet,ox,M,expanded,0.5,,euclidean,0.6183076529741331,0.7285714285714285,0.6657142857142857,0.6157142857142858
resnet,ox,M,expanded,0.75,,euclidean,0.6218653601359122,0.7285714285714285,0.6657142857142857,0.6185714285714285
resnet,ox,M,expanded,1.0,,euclidean,0.6242764443632376,0.7285714285714285,0.6657142857142857,0.617142857142857
resnet,ox,M,basic,,,cosine,0.8017895131082906,0.7857142857142857,0.7628571428571429,0.7428571428571428
resnet,ox,M,expanded,0.25,,cosine,0.8036837607432816,0.7857142857142857,0.7628571428571429,0.7400000000000001
resnet,ox,M,expanded,0.5,,cosine,0.8014882162657071,0.7857142857142857,0.7628571428571429,0.7428571428571429
resnet,ox,M,expanded,0.75,,cosine,0.7980329771193843,0.7857142857142857,0.7628571428571429,0.7428571428571429
resnet,ox,M,expanded,1.0,,cosine,0.7953652934431471,0.7857142857142857,0.7628571428571429,0.7428571428571429
resnet,ox,M,diffusion,,1.0,,0.4606351027326433,0.5571428571428572,0.4914285714285714,0.47285714285714286
resnet,ox,H,basic,,,euclidean,0.6136313284966252,0.7,0.6514285714285716,0.5785714285714286
resnet,ox,H,expanded,0.25,,euclidean,0.6174075975125941,0.7,0.6514285714285716,0.5757142857142857
resnet,ox,H,expanded,0.5,,euclidean,0.6206409372531146,0.7,0.6514285714285716,0.5800000000000001
resnet,ox,H,expanded,0.75,,euclidean,0.6234545912210562,0.7,0.6514285714285716,0.5857142857142857
resnet,ox,H,expanded,1.0,,euclidean,0.6249178921718185,0.7,0.6514285714285716,0.5871428571428572
resnet,ox,H,basic,,,cosine,0.7833786196998352,0.7428571428571429,0.7485714285714287,0.6857142857142857
resnet,ox,H,expanded,0.25,,cosine,0.7875049603543082,0.7428571428571429,0.7485714285714287,0.6885714285714286
